Column1,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,AgeGroup,,,,,,,,,
139,21,Spotify,3,Yes,Yes,Yes,Metal,Yes,No,150,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,3,3,7,0,0,18-24 years,,,,,,,,,
141,19,Spotify,1,No,No,Yes,Metal,Yes,Yes,160,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,6,4,0,3,0,18-24 years,,,,,,,,,
146,19,YouTube Music,5,Yes,No,No,Metal,No,Yes,136,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Very frequently,Very frequently,Never,Never,Sometimes,Very frequently,Sometimes,0,5,1,0,0,18-24 years,,,,,,,,,
147,20,Apple Music,2,Yes,No,No,Pop,Yes,No,141,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,6,3,0,0,1,18-24 years,,,,,,,,,
149,18,Spotify,2,Yes,No,No,R&B,No,Yes,164,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Rarely,Never,Never,5,6,0,1,0,18-24 years,,,,,,,,,
150,21,Spotify,5,Yes,Yes,Yes,Folk,Yes,Yes,128,Sometimes,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,9,4,0,3,1,18-24 years,,,,,,,,,
151,21,I do not use a streaming service.,2,Yes,No,No,Rock,No,Yes,101,Rarely,Sometimes,Rarely,Sometimes,Never,Very frequently,Rarely,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Rarely,8,8,3,0,1,18-24 years,,,,,,,,,
152,18,Spotify,2,Yes,Yes,No,K pop,Yes,Yes,98,Very frequently,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,7,2,3,5,1,18-24 years,,,,,,,,,
154,19,Spotify,1,Yes,No,No,Pop,Yes,Yes,94,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Never,7,5,1,2,1,18-24 years,,,,,,,,,
158,20,Apple Music,4,Yes,No,No,R&B,Yes,Yes,113,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,9,10,3,0,1,18-24 years,,,,,,,,,
160,19,Spotify,5,Yes,No,No,Rock,Yes,Yes,111,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,9,9,9,3,0,18-24 years,,,,,,,,,
164,22,YouTube Music,2,Yes,No,No,Pop,No,No,120,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,7,7,8,3,1,18-24 years,,,,,,,,,
165,19,Spotify,3,Yes,No,Yes,Rock,Yes,Yes,76,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,9,10,4,0,1,18-24 years,,,,,,,,,
168,23,I do not use a streaming service.,6,Yes,No,Yes,Classical,No,Yes,96,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,6,5,6,8,1,18-24 years,,,,,,,,,
172,20,Spotify,3,No,No,No,Rock,Yes,No,136,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Rarely,10,10,7,3,1,18-24 years,,,,,,,,,
173,18,Spotify,3,Yes,No,No,Rap,Yes,Yes,155,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,8,9,0,0,1,18-24 years,,,,,,,,,
174,19,Spotify,6,Yes,No,No,Rock,Yes,Yes,52,Never,Never,Rarely,Very frequently,Never,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,4,2,0,0,1,18-24 years,,,,,,,,,
178,20,Spotify,3,Yes,No,No,Rock,Yes,Yes,120,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,8,5,2,3,1,18-24 years,,,,,,,,,
180,18,Spotify,3,Yes,Yes,No,Rock,Yes,No,118,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Rarely,10,2,0,0,1,18-24 years,,,,,,,,,
181,18,Spotify,2,Yes,No,No,K pop,Yes,Yes,130,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,6,0,0,0,1,18-24 years,,,,,,,,,
195,23,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,120,Sometimes,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Never,6,9,2,1,1,18-24 years,,,,,,,,,
203,20,Spotify,2,No,Yes,Yes,Metal,No,Yes,220,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Rarely,0,0,0,1,0,18-24 years,,,,,,,,,
206,20,Spotify,2,Yes,Yes,No,EDM,No,Yes,174,Sometimes,Never,Very frequently,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,9,7,5,7,1,18-24 years,,,,,,,,,
207,23,Other streaming service,6,Yes,No,No,Rap,Yes,Yes,87,Never,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,3,1,2,7,1,18-24 years,,,,,,,,,
208,22,Spotify,3,Yes,No,No,Hip hop,Yes,Yes,77,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,6,6,8,0,1,18-24 years,,,,,,,,,
211,22,YouTube Music,1,Yes,No,No,Video game music,Yes,Yes,80,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Very frequently,3,3,0,7,0,18-24 years,,,,,,,,,
212,21,Spotify,10,Yes,No,No,Metal,Yes,Yes,92,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Sometimes,9,10,2,2,0,18-24 years,,,,,,,,,
213,19,Spotify,2,Yes,No,No,Pop,No,Yes,120,Rarely,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very frequently,Very frequently,Sometimes,Very frequently,Very frequently,7,5,0,2,0,18-24 years,,,,,,,,,
215,18,I do not use a streaming service.,2,Yes,Yes,No,Metal,Yes,Yes,150,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,5,7,7,2,1,18-24 years,,,,,,,,,
216,21,Spotify,3,Yes,No,No,Country,Yes,No,108,Rarely,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,0,8,0,5,1,18-24 years,,,,,,,,,
217,20,Spotify,3,No,No,No,Country,Yes,Yes,119,Rarely,Very frequently,Rarely,Sometimes,Never,Sometimes,Rarely,Sometimes,Never,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Never,8,4,3,4,1,18-24 years,,,,,,,,,
218,19,Spotify,2,Yes,No,No,Country,Yes,No,125,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,7,2,0,7,0,18-24 years,,,,,,,,,
219,21,Spotify,1,Yes,Yes,No,Pop,Yes,Yes,85,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Sometimes,Very frequently,5,1,0,0,1,18-24 years,,,,,,,,,
221,20,YouTube Music,1,No,No,No,Pop,Yes,No,86,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Very frequently,Never,Never,Sometimes,Never,3,5,3,0,1,18-24 years,,,,,,,,,
222,19,Spotify,5,Yes,Yes,No,Rock,Yes,No,141,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,Never,2,2,0,6,1,18-24 years,,,,,,,,,
223,19,Other streaming service,5,Yes,No,No,EDM,Yes,Yes,97,Rarely,Never,Very frequently,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,0,1,3,5,1,18-24 years,,,,,,,,,
224,24,I do not use a streaming service.,8,Yes,No,Yes,Video game music,Yes,No,120,Sometimes,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Rarely,Rarely,Sometimes,Very frequently,Very frequently,6,4,8,8,1,18-24 years,,,,,,,,,
225,20,Other streaming service,0.7,No,No,No,Rock,No,No,144,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,5,6,8,2,1,18-24 years,,,,,,,,,
228,20,I do not use a streaming service.,1.5,No,Yes,Yes,Video game music,No,Yes,60,Very frequently,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,8,4,3,3,-1,18-24 years,,,,,,,,,
230,24,Spotify,4,Yes,No,No,Metal,Yes,Yes,150,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,8,8,7,7,1,18-24 years,,,,,,,,,
232,23,Spotify,2,Yes,Yes,Yes,Rock,Yes,No,138,Very frequently,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Sometimes,6,8,4,2,0,18-24 years,,,,,,,,,
233,22,Spotify,6,Yes,No,No,Jazz,Yes,Yes,140,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,8,8,7,1,1,18-24 years,,,,,,,,,
238,18,Spotify,1,No,No,No,Pop,Yes,No,100,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Rarely,3,2,0,1,0,18-24 years,,,,,,,,,
240,18,Spotify,1,No,No,No,Rock,Yes,Yes,108,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Rarely,8,9,6,1,1,18-24 years,,,,,,,,,
242,20,Apple Music,3,Yes,Yes,No,Metal,Yes,No,200,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,7,4,7,0,1,18-24 years,,,,,,,,,
244,20,Apple Music,8,Yes,Yes,Yes,Country,Yes,No,120,Never,Very frequently,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,8,9,2,5,0,18-24 years,,,,,,,,,
245,22,Spotify,3,Yes,Yes,Yes,Rock,Yes,Yes,90,Never,Very frequently,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Very frequently,Sometimes,Very frequently,Never,10,10,4,0,1,18-24 years,,,,,,,,,
246,21,Spotify,3,Yes,No,No,Hip hop,Yes,Yes,85,Never,Never,Rarely,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Very frequently,Never,8,8,3,3,1,18-24 years,,,,,,,,,
247,21,Apple Music,5,Yes,Yes,No,Metal,Yes,Yes,171,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Never,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,8,7,7,4,1,18-24 years,,,,,,,,,
251,22,Spotify,1,Yes,No,No,Pop,No,No,108,Rarely,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Rarely,7,4,0,0,1,18-24 years,,,,,,,,,
255,22,Spotify,2,Yes,Yes,Yes,EDM,Yes,Yes,120,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,Very frequently,6,4,0,1,1,18-24 years,,,,,,,,,
258,22,YouTube Music,6,Yes,No,No,Country,Yes,No,103,Never,Very frequently,Never,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Very frequently,Rarely,5,5,3,3,1,18-24 years,,,,,,,,,
260,21,Spotify,4,Yes,Yes,No,Rock,Yes,No,62,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Very frequently,Never,7,4,6,1,1,18-24 years,,,,,,,,,
265,23,Apple Music,3,No,No,No,Rock,Yes,No,161,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,7,6,4,2,1,18-24 years,,,,,,,,,
268,22,Spotify,2,Yes,Yes,Yes,Pop,Yes,No,72,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Very frequently,Very frequently,Sometimes,Sometimes,Rarely,2,7,1,2,1,18-24 years,,,,,,,,,
271,23,Spotify,5,Yes,Yes,No,Video game music,No,No,95,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,8,7,0,3,0,18-24 years,,,,,,,,,
273,22,Spotify,3,Yes,Yes,Yes,EDM,Yes,No,140,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,5,4,2,0,1,18-24 years,,,,,,,,,
274,23,Spotify,5,Yes,No,No,Lofi,Yes,Yes,120,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Very frequently,7,10,10,1,1,18-24 years,,,,,,,,,
275,19,Spotify,5,Yes,No,No,Country,Yes,Yes,118,Rarely,Very frequently,Never,Very frequently,Sometimes,Rarely,Sometimes,Never,Very frequently,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,7,6,8,4,1,18-24 years,,,,,,,,,
278,21,Spotify,3,Yes,No,No,Country,Yes,No,86,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,6,5,5,3,1,18-24 years,,,,,,,,,
279,21,Spotify,10,Yes,No,No,Rock,Yes,Yes,107,Rarely,Never,Very frequently,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,8,7,6,8,0,18-24 years,,,,,,,,,
280,23,Spotify,2,Yes,No,No,Video game music,Yes,Yes,180,Sometimes,Never,Very frequently,Never,Never,Rarely,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Sometimes,Very frequently,10,7,7,3,-1,18-24 years,,,,,,,,,
282,18,Spotify,1.5,No,No,No,Hip hop,No,No,150,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Very frequently,Never,Sometimes,Sometimes,Never,3,7,4,0,1,18-24 years,,,,,,,,,
283,21,I do not use a streaming service.,10,Yes,No,No,Pop,Yes,No,112,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,9,7,5,5,1,18-24 years,,,,,,,,,
284,23,Spotify,3,Yes,Yes,Yes,Rock,Yes,Yes,66,Rarely,Rarely,Never,Very frequently,Never,Sometimes,Sometimes,Never,Never,Never,Very frequently,Very frequently,Very frequently,Sometimes,Very frequently,Never,10,7,0,10,1,18-24 years,,,,,,,,,
286,19,Spotify,3,Yes,No,No,K pop,Yes,Yes,110,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Never,Very frequently,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Very frequently,Never,6,0,3,0,1,18-24 years,,,,,,,,,
290,18,YouTube Music,0.5,No,No,No,Rock,Yes,No,66,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Never,5,3,1,0,0,18-24 years,,,,,,,,,
291,19,Spotify,5,Yes,No,No,K pop,Yes,Yes,158,Rarely,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Rarely,Rarely,4,2,2,1,1,18-24 years,,,,,,,,,
295,24,Other streaming service,1.5,Yes,No,No,Video game music,No,Yes,171,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,3,4,1,1,1,18-24 years,,,,,,,,,
296,23,Spotify,1,Yes,Yes,No,Jazz,Yes,No,150,Rarely,Rarely,Very frequently,Never,Rarely,Never,Very frequently,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Very frequently,Sometimes,9,7,2,1,1,18-24 years,,,,,,,,,
298,20,I do not use a streaming service.,0.5,No,No,No,Metal,Yes,Yes,150,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,8,9,6,4,1,18-24 years,,,,,,,,,
300,20,Spotify,4,Yes,No,No,Hip hop,Yes,No,85,Never,Rarely,Very frequently,Rarely,Never,Very frequently,Never,Never,Never,Never,Never,Sometimes,Sometimes,Very frequently,Sometimes,Never,3,2,1,6,1,18-24 years,,,,,,,,,
301,21,Spotify,1,Yes,No,No,Rock,Yes,No,147,Rarely,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Very frequently,7,9,1,2,1,18-24 years,,,,,,,,,
305,24,Spotify,3,Yes,Yes,No,Classical,No,Yes,75,Very frequently,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Never,Never,9,6,1,1,1,18-24 years,,,,,,,,,
306,18,Spotify,2,Yes,No,No,Hip hop,Yes,Yes,20,Rarely,Never,Rarely,Never,Rarely,Very frequently,Rarely,Very frequently,Sometimes,Never,Never,Sometimes,Very frequently,Very frequently,Never,Never,10,7,2,0,1,18-24 years,,,,,,,,,
308,19,Spotify,6,Yes,No,No,Metal,Yes,No,111,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,1,0,0,0,1,18-24 years,,,,,,,,,
314,20,I do not use a streaming service.,2,Yes,No,No,Rock,Yes,No,114,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,6,2,6,7,0,18-24 years,,,,,,,,,
315,23,I do not use a streaming service.,2,Yes,No,No,Pop,Yes,Yes,109,Rarely,Very frequently,Never,Rarely,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,6,1,0,5,1,18-24 years,,,,,,,,,
320,20,Spotify,2,Yes,Yes,No,Pop,No,Yes,132,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,6,2,2,1,0,18-24 years,,,,,,,,,
321,18,Spotify,5,Yes,No,No,K pop,Yes,Yes,124,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Very frequently,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Sometimes,Never,7,4,5,6,1,18-24 years,,,,,,,,,
324,19,Apple Music,8,Yes,No,Yes,Country,Yes,No,109,Never,Very frequently,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,7,5,6,5,1,18-24 years,,,,,,,,,
326,18,Apple Music,2,Yes,Yes,No,Rap,Yes,Yes,170,Very frequently,Never,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Sometimes,3,2,0,2,1,18-24 years,,,,,,,,,
330,21,Apple Music,1,No,No,No,Rap,No,No,160,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,4,3,4,5,1,18-24 years,,,,,,,,,
331,23,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,141,Rarely,Rarely,Never,Very frequently,Never,Rarely,Never,Never,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,Very frequently,Very frequently,0,5,7,0,0,18-24 years,,,,,,,,,
332,18,Spotify,1,Yes,Yes,No,Pop,No,Yes,105,Sometimes,Rarely,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,8,7,7,0,1,18-24 years,,,,,,,,,
340,22,YouTube Music,3,No,Yes,No,Classical,Yes,No,113,Very frequently,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,8,2,4,0,0,18-24 years,,,,,,,,,
342,18,YouTube Music,10,Yes,No,No,EDM,Yes,No,140,Never,Never,Very frequently,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Never,Never,10,9,9,8,1,18-24 years,,,,,,,,,
345,19,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,180,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,2,3,5,2,1,18-24 years,,,,,,,,,
346,20,YouTube Music,3,Yes,Yes,Yes,Classical,Yes,No,100,Very frequently,Sometimes,Rarely,Sometimes,Rarely,Rarely,Very frequently,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,2,3,3,0,1,18-24 years,,,,,,,,,
347,18,Spotify,2,No,No,No,Rock,Yes,No,123,Never,Very frequently,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,8,4,3,0,1,18-24 years,,,,,,,,,
352,19,YouTube Music,3,No,Yes,No,Rap,Yes,Yes,73,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,3,3,0,0,1,18-24 years,,,,,,,,,
357,21,Spotify,1,No,No,No,Country,No,No,135,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,3,0,2,0,1,18-24 years,,,,,,,,,
359,23,Spotify,0.5,No,No,Yes,Hip hop,Yes,Yes,110,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very frequently,Rarely,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Sometimes,7,7,6,5,1,18-24 years,,,,,,,,,
363,21,Spotify,4,Yes,No,No,Metal,Yes,Yes,155,Never,Never,Very frequently,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Very frequently,Very frequently,10,6,8,0,1,18-24 years,,,,,,,,,
365,24,Apple Music,2,Yes,No,No,Rock,Yes,Yes,93,Rarely,Sometimes,Never,Very frequently,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Very frequently,Never,7,7,0,4,0,18-24 years,,,,,,,,,
367,22,Spotify,3,Yes,No,No,Lofi,Yes,Yes,174,Rarely,Very frequently,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,7,6,7,9,1,18-24 years,,,,,,,,,
368,20,I do not use a streaming service.,4,Yes,No,No,Rock,Yes,Yes,120,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Rarely,5,7,7,0,0,18-24 years,,,,,,,,,
369,23,Spotify,2,Yes,No,No,Pop,No,No,75,Sometimes,Rarely,Rarely,Sometimes,Never,Very frequently,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,7,6,4,3,1,18-24 years,,,,,,,,,
371,24,Spotify,6,Yes,No,No,Video game music,No,Yes,180,Sometimes,Never,Sometimes,Very frequently,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Never,Very frequently,Very frequently,9,5,0,7,1,18-24 years,,,,,,,,,
375,22,I do not use a streaming service.,2,No,Yes,Yes,Metal,No,No,140,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Rarely,Never,Very frequently,Very frequently,3,2,0,2,0,18-24 years,,,,,,,,,
377,23,YouTube Music,4,No,No,No,Hip hop,Yes,No,72,Rarely,Rarely,Never,Rarely,Never,Very frequently,Rarely,Never,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Rarely,8,10,4,0,0,18-24 years,,,,,,,,,
381,23,I do not use a streaming service.,10,Yes,No,No,Video game music,No,Yes,119,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Very frequently,8,8,5,0,1,18-24 years,,,,,,,,,
382,22,YouTube Music,4,Yes,No,No,Folk,Yes,Yes,137,Rarely,Sometimes,Very frequently,Very frequently,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,7,6,2,1,18-24 years,,,,,,,,,
